sequence_id,score,timestamp
O00541,6.376726947898627,2025-07-06T23:06:18.867156
O15229,6.186208623900494,2025-07-06T23:06:18.867635
O15371,6.306275286948016,2025-07-06T23:06:18.867705
O15372,5.863631175598097,2025-07-06T23:06:18.867763
O43148,6.16541785423142,2025-07-06T23:06:18.867819
O43513,5.4510384535657,2025-07-06T23:06:18.867873
O43592,6.8690144506657065,2025-07-06T23:06:18.867924
O43766,5.918893854273146,2025-07-06T23:06:18.867975
O60244,7.282073658093465,2025-07-06T23:06:18.868026
O75143,6.248042874508429,2025-07-06T23:06:18.868079
O75586,5.5053315359323625,2025-07-06T23:06:18.868156
O75821,5.768320995793772,2025-07-06T23:06:18.868236
O75822,5.552959584921617,2025-07-06T23:06:18.868557
O75879,6.322565239927284,2025-07-06T23:06:18.868642
O94817,4.941642422609304,2025-07-06T23:06:18.868696
O95391,6.373319789577012,2025-07-06T23:06:18.868748
O96007,5.236441962829949,2025-07-06T23:06:18.868798
P00156,5.940171252720432,2025-07-06T23:06:18.868848
P00395,6.240275845170769,2025-07-06T23:06:18.868898
P00403,5.424950017481403,2025-07-06T23:06:18.868946
P00414,5.564520407322694,2025-07-06T23:06:18.869053
P00441,5.0369526024136295,2025-07-06T23:06:18.869121
P00846,5.420534999272286,2025-07-06T23:06:18.869178
P00966,6.021023349349527,2025-07-06T23:06:18.869230
P02818,4.605170185988092,2025-07-06T23:06:18.869281
P03886,5.762051382780177,2025-07-06T23:06:18.869332
P03891,5.849324779946859,2025-07-06T23:06:18.869384
P03897,4.74493212836325,2025-07-06T23:06:18.869437
P03905,6.129050210060545,2025-07-06T23:06:18.869488
P03915,6.401917196727186,2025-07-06T23:06:18.869538
P03923,5.159055299214529,2025-07-06T23:06:18.869586
P03928,4.219507705176107,2025-07-06T23:06:18.869634
P04179,5.402677381872279,2025-07-06T23:06:18.869682
P04406,5.814130531825066,2025-07-06T23:06:18.869730
P05388,5.75890177387728,2025-07-06T23:06:18.869776
P06576,6.270988431858299,2025-07-06T23:06:18.869823
P06744,6.324358962381311,2025-07-06T23:06:18.869871
P07437,6.095824562432225,2025-07-06T23:06:18.869918
P07741,5.19295685089021,2025-07-06T23:06:18.869964
